alpha,d,m,n,T,R,EDD,,Medias, ,IGA,,IGA+LS1Â°,
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
0,10,10,50,0.2,0.2,1180,5.5494e-05,1411,5.5841e-05,564,0.608584,564,0.0360823
0.2,10,10,50,0.2,0.2,4467.73,4.077e-05,4168.37,4.1656e-05,3249.76,0.635979,3249.76,0.0365797
0.8,10,10,50,0.2,0.2,49702.4,4.1285e-05,46508.8,4.1243e-05,38378.3,0.715474,38378.3,0.0368419
0,10,10,50,0.8,0.2,2945,0.000112727,2910,6.1759e-05,2376,0.965788,2376,0.0365088
0.2,10,10,50,0.8,0.2,6344.37,4.2308e-05,5793.99,4.0722e-05,5099.23,0.410612,5099.23,0.0363155
0.8,10,10,50,0.8,0.2,53711.2,4.1206e-05,48877.9,4.0242e-05,40178.2,0.535118,40178.2,0.0365608
0,10,2,20,0.2,0.2,445,1.2739e-05,390,1.0727e-05,344,0.0275869,344,0.000594683
0.2,10,2,20,0.2,0.2,1084.04,1.2733e-05,972.752,1.0462e-05,906.711,0.018566,906.711,0.000978184
0.8,10,2,20,0.2,0.2,6521.3,1.2564e-05,5841.76,1.0283e-05,5324.48,0.0253517,5324.48,0.000602746
0,10,2,20,0.8,0.2,995,1.2649e-05,1114,1.0004e-05,956,0.0162839,956,0.000862344
0.2,10,2,20,0.8,0.2,1722.1,1.2573e-05,1742.37,9.817e-06,1519.88,0.0148766,1510.21,0.00547577
0.8,10,2,20,0.8,0.2,8431.39,1.4433e-05,7080.65,2.7811e-05,6003.94,0.0204116,6003.94,0.000597465
0,10,30,150,0.2,0.2,4383,2.00258e-05,5285,1.10349e-05,3064,0.378106,2825,0.661176
0.2,10,30,150,0.2,0.2,20451.7,7.76018e-06,20173.4,8.68892e-06,16871.6,0.383777,16342.1,4.79491
0.8,10,30,150,0.2,0.2,400068,8.33577e-06,372777,7.53985e-06,322492,0.387886,322492,0.0732958
0,10,30,150,0.8,0.2,9721,9.28988e-06,9726,8.51537e-06,8090,0.403236,8090,0.0568129
0.2,10,30,150,0.8,0.2,25316.9,7.75452e-06,25668,7.31092e-06,21975.8,0.267458,21293.5,10.4291
0.8,10,30,150,0.8,0.2,393197,8.19778e-06,395314,7.27373e-06,332732,0.341397,332732,0.0693815
0,10,30,250,0.2,0.2,5525,1.82171e-05,6014,1.94615e-05,3140,2.85681,3140,0.391876
0.2,10,30,250,0.2,0.2,33982.4,1.59494e-05,32764.9,1.56976e-05,27366.6,1.60206,27366.6,0.273179
0.8,10,30,250,0.2,0.2,886389,1.62221e-05,826675,1.70612e-05,737983,0.733482,737983,0.277842
0,10,30,250,0.8,0.2,13657,1.7082e-05,14271,1.53025e-05,11636,1.61817,11636,0.270997
0.2,10,30,250,0.8,0.2,40810.2,1.65902e-05,41827.4,1.53112e-05,35659.3,1.5048,35659.3,0.271989
0.8,10,30,250,0.8,0.2,853812,2.49337e-05,853185,1.61751e-05,744721,1.60842,744721,0.275954
0,10,30,350,0.2,0.2,7549,2.45385e-05,9891,2.34279e-05,4980,4.8938,4980,1.2739
0.2,10,30,350,0.2,0.2,48730.4,2.45592e-05,49150.7,2.54918e-05,41360.6,4.72534,41360.6,1.23819
0.8,10,30,350,0.2,0.2,1.4713e+06,2.33838e-05,1.4642e+06,2.44535e-05,1.29368e+06,3.70018,1.29368e+06,1.07308
0,10,30,350,0.8,0.2,18744,2.34681e-05,20129,2.64003e-05,16065,5.09172,16065,2.14757
0.2,10,30,350,0.8,0.2,59364.2,3.03658e-05,61387.2,3.27168e-05,52466.3,7.93677,52466.3,1.65308
0.8,10,30,350,0.8,0.2,1.4843e+06,2.38416e-05,1.4878e+06,2.4943e-05,1.32042e+06,4.68548,1.32042e+06,1.69877
0,10,30,50,0.2,0.2,2068,2.29703e-06,2750,2.18673e-06,1394,0.0574689,1394,0.002158
0.2,10,30,50,0.2,0.2,7030.77,2.29773e-06,7395.99,2.26348e-06,5596.2,0.0584846,5596.2,0.00216016
0.8,10,30,50,0.2,0.2,83130.7,2.40557e-06,74386.3,1.92523e-06,65870.4,0.044716,65870.4,0.00208133
0,10,30,50,0.8,0.2,4529,4.8428e-06,4464,2.07153e-06,3862,0.0195388,3714,0.0104761
0.2,10,30,50,0.8,0.2,9566.41,1.39982e-06,9020.89,1.4642e-06,8209.16,0.0189102,8209.16,0.00209303
0.8,10,30,50,0.8,0.2,85342.3,4.86292e-06,77397.4,3.42552e-06,67842.1,0.0374741,67842.1,0.00205276
0,10,3,20,0.2,0.2,373,1.5483e-05,440,1.1016e-05,231,0.0264794,231,0.000815555
0.2,10,3,20,0.2,0.2,1059.98,2.7357e-05,892.665,1.1621e-05,735.268,0.0194462,735.268,0.000734026
0.8,10,3,20,0.2,0.2,7424.39,1.7194e-05,5216.46,1.1465e-05,4694.28,0.0187238,4694.28,0.000960518
0,10,3,20,0.8,0.2,854,1.64e-05,935,1.088e-05,774,0.0276137,774,0.000763358
0.2,10,3,20,0.8,0.2,1538,1.6112e-05,1398.75,1.1602e-05,1288.2,0.031509,1288.2,0.00076257
0.8,10,3,20,0.8,0.2,7941.24,1.656e-05,5985.24,1.1616e-05,5213.19,0.0326298,5146.15,0.00220774
0,10,5,20,0.2,0.2,353,1.5311e-05,554,1.1974e-05,192,0.0410457,192,0.00110468
0.2,10,5,20,0.2,0.2,1248.75,1.6132e-05,1290.23,1.2455e-05,832.61,0.0484834,832.61,0.00131529
0.8,10,5,20,0.2,0.2,9200.39,3.9717e-05,7564.53,2.0248e-05,6890.7,0.0433194,6890.7,0.00121824
0,10,5,20,0.8,0.2,1066,1.9152e-05,1221,1.2208e-05,1031,0.0370532,1031,0.0018875
0.2,10,5,20,0.8,0.2,1980.76,1.5733e-05,1948.26,1.2758e-05,1694.27,0.059636,1694.27,0.00119407
0.8,10,5,20,0.8,0.2,10685.2,1.4952e-05,8764.33,1.268e-05,7863.11,0.0448722,7863.11,0.0011964
