alpha,d,m,n,T,R,EDD,,Medias, ,IG,
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
0.2,6,2,20,0.2,0.2,,,,,,
0.2,6,2,20,0.8,0.2,,,,,,
0.2,8,2,20,0.2,0.2,,,,,,
0.2,8,2,20,0.8,0.2,,,,,,
0.2,10,2,20,0.2,0.2,,,,,,
0.2,10,2,20,0.8,0.2,,,,,,
0.2,6,3,20,0.2,0.2,,,,,,
0.2,6,3,20,0.8,0.2,,,,,,
0.2,8,3,20,0.2,0.2,,,,,,
0.2,8,3,20,0.8,0.2,,,,,,
0.2,10,3,20,0.2,0.2,,,,,,
0.2,10,3,20,0.8,0.2,,,,,,
0.2,6,5,20,0.2,0.2,,,,,,
0.2,6,5,20,0.8,0.2,,,,,,
0.2,8,5,20,0.2,0.2,,,,,,
0.2,8,5,20,0.8,0.2,,,,,,
0.2,10,5,20,0.2,0.2,,,,,,
0.2,10,5,20,0.8,0.2,,,,,,
0.2,6,10,50,0.2,0.2,,,,,,
0.2,6,10,50,0.8,0.2,,,,,,
0.2,8,10,50,0.2,0.2,,,,,,
0.2,8,10,50,0.8,0.2,,,,,,
0.2,10,10,50,0.2,0.2,,,,,,
0.2,10,10,50,0.8,0.2,,,,,,
,,,,,,,,,,,
0.2,6,30,150,0.2,0.2,,,,,,
0.2,6,30,150,0.8,0.2,,,,,,
0.2,6,30,250,0.2,0.2,,,,,,
0.2,6,30,250,0.8,0.2,,,,,,
0.2,6,30,350,0.2,0.2,,,,,,
0.2,6,30,350,0.8,0.2,,,,,,
0.2,6,30,50,0.2,0.2,,,,,,
0.2,6,30,50,0.8,0.2,,,,,,
0.2,8,30,150,0.2,0.2,,,,,,
0.2,8,30,150,0.8,0.2,,,,,,
0.2,8,30,250,0.2,0.2,,,,,,
0.2,8,30,250,0.8,0.2,,,,,,
0.2,8,30,350,0.2,0.2,,,,,,
0.2,8,30,350,0.8,0.2,,,,,,
0.2,8,30,50,0.2,0.2,,,,,,
0.2,8,30,50,0.8,0.2,,,,,,
0.2,10,30,150,0.2,0.2,,,,,,
0.2,10,30,150,0.8,0.2,,,,,,
0.2,10,30,250,0.2,0.2,,,,,,
0.2,10,30,250,0.8,0.2,,,,,,
0.2,10,30,350,0.2,0.2,,,,,,
0.2,10,30,350,0.8,0.2,,,,,,
0.2,10,30,50,0.2,0.2,,,,,,
0.2,10,30,50,0.8,0.2,,,,,,
0.2,6,50,150,0.2,0.2,,,,,,
0.2,6,50,150,0.8,0.2,,,,,,
0.2,6,50,250,0.2,0.2,,,,,,
0.2,6,50,250,0.8,0.2,,,,,,
0.2,6,50,350,0.2,0.2,,,,,,
0.2,6,50,350,0.8,0.2,,,,,,
0.2,6,50,50,0.2,0.2,,,,,,
0.2,6,50,50,0.8,0.2,,,,,,
0.2,8,50,150,0.2,0.2,,,,,,
0.2,8,50,150,0.8,0.2,,,,,,
0.2,8,50,250,0.2,0.2,,,,,,
0.2,8,50,250,0.8,0.2,,,,,,
0.2,8,50,350,0.2,0.2,,,,,,
0.2,8,50,350,0.8,0.2,,,,,,
0.2,8,50,50,0.2,0.2,,,,,,
0.2,8,50,50,0.8,0.2,,,,,,
0.2,10,50,150,0.2,0.2,,,,,,
0.2,10,50,150,0.8,0.2,,,,,,
0.2,10,50,250,0.2,0.2,,,,,,
0.2,10,50,250,0.8,0.2,,,,,,
0.2,10,50,350,0.2,0.2,,,,,,
0.2,10,50,350,0.8,0.2,,,,,,
0.2,10,50,50,0.2,0.2,,,,,,
0.2,10,50,50,0.8,0.2,,,,,,
,,,,,,,,,,,
0.8,6,2,20,0.2,0.2,,,,,,
0.8,6,2,20,0.8,0.2,,,,,,
0.8,8,2,20,0.2,0.2,,,,,,
0.8,8,2,20,0.8,0.2,,,,,,
0.8,10,2,20,0.2,0.2,,,,,,
0.8,10,2,20,0.8,0.2,,,,,,
0.8,6,3,20,0.2,0.2,,,,,,
0.8,6,3,20,0.8,0.2,,,,,,
0.8,8,3,20,0.2,0.2,,,,,,
0.8,8,3,20,0.8,0.2,,,,,,
0.8,10,3,20,0.2,0.2,,,,,,
0.8,10,3,20,0.8,0.2,,,,,,
0.8,6,5,20,0.2,0.2,,,,,,
0.8,6,5,20,0.8,0.2,,,,,,
0.8,8,5,20,0.2,0.2,,,,,,
0.8,8,5,20,0.8,0.2,,,,,,
0.8,10,5,20,0.2,0.2,,,,,,
0.8,10,5,20,0.8,0.2,,,,,,
0.8,6,10,50,0.2,0.2,,,,,,
0.8,6,10,50,0.8,0.2,,,,,,
0.8,8,10,50,0.2,0.2,,,,,,
0.8,8,10,50,0.8,0.2,,,,,,
0.8,10,10,50,0.2,0.2,,,,,,
0.8,10,10,50,0.8,0.2,,,,,,
,,,,,,,,,,,
0.8,6,30,150,0.2,0.2,,,,,,
0.8,6,30,150,0.8,0.2,,,,,,
0.8,6,30,250,0.2,0.2,,,,,,
0.8,6,30,250,0.8,0.2,,,,,,
0.8,6,30,350,0.2,0.2,,,,,,
0.8,6,30,350,0.8,0.2,,,,,,
0.8,6,30,50,0.2,0.2,,,,,,
0.8,6,30,50,0.8,0.2,,,,,,
0.8,8,30,150,0.2,0.2,,,,,,
0.8,8,30,150,0.8,0.2,,,,,,
0.8,8,30,250,0.2,0.2,,,,,,
0.8,8,30,250,0.8,0.2,,,,,,
0.8,8,30,350,0.2,0.2,,,,,,
0.8,8,30,350,0.8,0.2,,,,,,
0.8,8,30,50,0.2,0.2,,,,,,
0.8,8,30,50,0.8,0.2,,,,,,
0.8,10,30,150,0.2,0.2,,,,,,
0.8,10,30,150,0.8,0.2,,,,,,
0.8,10,30,250,0.2,0.2,,,,,,
0.8,10,30,250,0.8,0.2,,,,,,
0.8,10,30,350,0.2,0.2,,,,,,
0.8,10,30,350,0.8,0.2,,,,,,
0.8,10,30,50,0.2,0.2,,,,,,
0.8,10,30,50,0.8,0.2,,,,,,
0.8,6,50,150,0.2,0.2,,,,,,
0.8,6,50,150,0.8,0.2,,,,,,
0.8,6,50,250,0.2,0.2,,,,,,
0.8,6,50,250,0.8,0.2,,,,,,
0.8,6,50,350,0.2,0.2,,,,,,
0.8,6,50,350,0.8,0.2,,,,,,
0.8,6,50,50,0.2,0.2,,,,,,
0.8,6,50,50,0.8,0.2,,,,,,
0.8,8,50,150,0.2,0.2,,,,,,
0.8,8,50,150,0.8,0.2,,,,,,
0.8,8,50,250,0.2,0.2,,,,,,
0.8,8,50,250,0.8,0.2,,,,,,
0.8,8,50,350,0.2,0.2,,,,,,
0.8,8,50,350,0.8,0.2,,,,,,
0.8,8,50,50,0.2,0.2,,,,,,
0.8,8,50,50,0.8,0.2,,,,,,
0.8,10,50,150,0.2,0.2,,,,,,
0.8,10,50,150,0.8,0.2,,,,,,
0.8,10,50,250,0.2,0.2,,,,,,
0.8,10,50,250,0.8,0.2,,,,,,
0.8,10,50,350,0.2,0.2,,,,,,
0.8,10,50,350,0.8,0.2,,,,,,
0.8,10,50,50,0.2,0.2,,,,,,
0.8,10,50,50,0.8,0.2,,,,,,
